date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th
2016-02-18,마루 팩사케,,,,,,,,
2016-04-20,하쿠시카 준마이 팩사케,,,,,,,,
2016-05-29,코젤 다크,,,,,,,,
2016-06-22,게케이칸 사케,,,,,,,,
2016-06-26,듀벨,,,,,,,,
2016-07-01,청하,,,,,,,,
2016-07-02,홉고블린,,,,,,,,
2016-07-03,케이오틱 더블 아이피에이,,,,,,,,
2016-07-04,청하,,,,,,,,
2016-07-07,수제맥주,,,,,,,,
2016-07-08,클라우드,,,,,,,,
2016-07-13,처음처럼,,,,,,,,
2016-07-15,처음처럼,파울라너,스텔라 아루트아,,,,,,
2016-07-16,팍세 스타우트,,,,,,,,
2016-07-17,벡스,,,,,,,,
2016-07-18,하켄버그 필스 라거,윌리안브로이 알트 에일,,,,,,,
2016-07-21,하쿠쯔루 죠센 탄레이 준마이,청하,,,,,,,
2016-07-24,크럼바커 필스,,,,,,,,
2016-07-27,산토리 프리미엄 몰츠,,,,,,,,
2016-07-31,가펠쾰쉬,에딩거바이스비어둔켈,몬티스 IPA,그레이프프루트 에일,팍세 스타우트,,,,
2016-08-01,생맥주,,,,,,,,
2016-08-08,아포스텔브라우,,,,,,,,
2016-08-11,하이트 엑스트라 콜드,로그 아메리칸 엠버 에일,,,,,,,
2016-08-14,에델바이스,케이오틱 더블 아이피에이,체링거,홉고블린,,,,,
2016-08-16,스텔라 아르투아,,,,,,,,
2016-08-19,생맥주,,,,,,,,
2016-08-21,팍세 스타우트,,,,,,,,
2016-08-28,래핑스컬 화이트 에일,뉴캐슬 브라운에일,부데요비츠키 부드바르,프라가 프리미엄 필스,케이오틱 더블 아이피에이,,,,
2016-08-30,팍세 스타우트,,,,,,,,
2016-08-31,아포스텔브라우,생맥주,,,,,,,
2016-09-02,생맥주,,,,,,,,
2016-09-04,보딩턴,아사히 드라이 블랙,팍세 스타우트,벡스,,,,,
2016-09-06,청하,,,,,,,,
2016-09-08,수제맥주,아사히 슈퍼 드라이,,,,,,,
2016-09-10,산토리 프리미엄 몰츠,,,,,,,,
2016-09-11,칼스브로이 바이젠,듀라커 둔켈,더 킹덤 오브 벨지움 필스너,발렌틴스,켈케니,,,,
2016-09-12,마튼즈 엑스포트,,,,,,,,
2016-09-13,팍세 스타우트,,,,,,,,
